Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
03/07/2024 15:00:00 - 03/07/2024 16:00:00;351.00;n/e;n/e;n/e;427.00;0.00;123.00;n/e;n/e;n/e;;5201.00;1557.00;n/e;34191.00;n/e;n/e;9346.00;204.00;857.00;5198.00
03/07/2024 16:00:00 - 03/07/2024 17:00:00;354.00;n/e;n/e;n/e;426.00;0.00;123.00;n/e;n/e;n/e;;5270.00;1423.00;n/e;33547.00;n/e;n/e;8437.00;207.00;1088.00;5665.00
03/07/2024 17:00:00 - 03/07/2024 18:00:00;351.00;n/e;n/e;n/e;419.00;0.00;123.00;n/e;n/e;n/e;;5366.00;1602.00;n/e;33504.00;n/e;n/e;6878.00;209.00;1120.00;5744.00
03/07/2024 18:00:00 - 03/07/2024 19:00:00;351.00;n/e;n/e;n/e;419.00;0.00;123.00;n/e;n/e;n/e;1304.00;5574.00;1820.00;n/e;36170.00;n/e;n/e;4820.00;209.00;827.00;5368.00
03/07/2024 19:00:00 - 03/07/2024 20:00:00;351.00;n/e;n/e;n/e;416.00;0.00;123.00;n/e;n/e;n/e;1866.00;5856.00;2355.00;n/e;39288.00;n/e;n/e;2636.00;209.00;828.00;4823.00
03/07/2024 20:00:00 - 03/07/2024 21:00:00;354.00;n/e;n/e;n/e;417.00;0.00;123.00;n/e;n/e;n/e;1743.00;5879.00;2218.00;n/e;39350.00;n/e;n/e;998.00;211.00;918.00;4570.00
03/07/2024 21:00:00 - 03/07/2024 22:00:00;354.00;n/e;n/e;n/e;419.00;0.00;123.00;n/e;n/e;n/e;1119.00;5842.00;1763.00;n/e;39256.00;n/e;n/e;363.00;212.00;1018.00;4662.00
03/07/2024 22:00:00 - 03/07/2024 23:00:00;354.00;n/e;n/e;n/e;417.00;0.00;123.00;n/e;n/e;n/e;1681.00;5811.00;1862.00;n/e;39415.00;n/e;n/e;268.00;212.00;1062.00;4628.00
03/07/2024 23:00:00 - 04/07/2024 00:00:00;354.00;n/e;n/e;n/e;416.00;0.00;123.00;n/e;n/e;n/e;1171.00;5908.00;1751.00;n/e;39424.00;n/e;n/e;0.00;212.00;1074.00;5025.00
04/07/2024 00:00:00 - 04/07/2024 01:00:00;355.00;n/e;n/e;n/e;416.00;0.00;123.00;n/e;n/e;n/e;489.00;5666.00;1693.00;n/e;35953.00;n/e;n/e;0.00;211.00;1039.00;5307.00
04/07/2024 01:00:00 - 04/07/2024 02:00:00;355.00;n/e;n/e;n/e;417.00;0.00;123.00;n/e;n/e;n/e;;5552.00;1859.00;n/e;34676.00;n/e;n/e;0.00;212.00;1086.00;5428.00
04/07/2024 02:00:00 - 04/07/2024 03:00:00;356.00;n/e;n/e;n/e;417.00;0.00;123.00;n/e;n/e;n/e;;5538.00;2137.00;n/e;34282.00;n/e;n/e;0.00;215.00;1147.00;3472.00
