Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
31/08/2024 16:00:00 - 31/08/2024 17:00:00;558.00;n/e;n/e;520.00;10544.00;308.00;226.00;n/e;n/e;567.00;237.00;2946.00;441.00;n/e;n/e;1798.00;n/e;8550.00;311.00;10.00;2648.00
31/08/2024 17:00:00 - 31/08/2024 18:00:00;562.00;n/e;n/e;502.00;14424.00;309.00;225.00;n/e;n/e;568.00;313.00;3914.00;589.00;n/e;n/e;1848.00;n/e;5272.00;310.00;11.00;2434.00
31/08/2024 18:00:00 - 31/08/2024 19:00:00;562.00;n/e;n/e;523.00;16542.00;339.00;226.00;n/e;n/e;567.00;624.00;4808.00;909.00;n/e;n/e;2100.00;n/e;1964.00;314.00;8.00;1966.00
31/08/2024 19:00:00 - 31/08/2024 20:00:00;568.00;n/e;n/e;543.00;17796.00;368.00;224.00;n/e;n/e;566.00;2065.00;5999.00;947.00;n/e;n/e;2030.00;n/e;164.00;319.00;2.00;1442.00
31/08/2024 20:00:00 - 31/08/2024 21:00:00;569.00;n/e;n/e;565.00;18285.00;367.00;225.00;n/e;n/e;568.00;1764.00;5672.00;926.00;n/e;n/e;2079.00;n/e;0.00;321.00;4.00;1213.00
31/08/2024 21:00:00 - 31/08/2024 22:00:00;568.00;n/e;n/e;570.00;17713.00;368.00;225.00;n/e;n/e;569.00;825.00;5098.00;740.00;n/e;n/e;2025.00;n/e;0.00;322.00;5.00;1054.00
31/08/2024 22:00:00 - 31/08/2024 23:00:00;573.00;n/e;n/e;575.00;16882.00;368.00;224.00;n/e;n/e;568.00;346.00;4022.00;523.00;n/e;n/e;2024.00;n/e;0.00;325.00;8.00;1196.00
31/08/2024 23:00:00 - 01/09/2024 00:00:00;571.00;n/e;n/e;574.00;14551.00;369.00;224.00;n/e;n/e;570.00;230.00;3583.00;540.00;n/e;n/e;1955.00;n/e;0.00;325.00;3.00;1358.00
01/09/2024 00:00:00 - 01/09/2024 01:00:00;553.00;n/e;n/e;565.00;12843.00;368.00;138.00;n/e;n/e;570.00;203.00;3223.00;449.00;n/e;n/e;1227.00;n/e;0.00;335.00;2.00;1336.00
01/09/2024 01:00:00 - 01/09/2024 02:00:00;552.00;n/e;n/e;565.00;11716.00;349.00;137.00;n/e;n/e;571.00;129.00;3034.00;467.00;n/e;n/e;1112.00;n/e;0.00;341.00;8.00;1348.00
01/09/2024 02:00:00 - 01/09/2024 03:00:00;552.00;n/e;n/e;565.00;10638.00;347.00;137.00;n/e;n/e;571.00;171.00;3012.00;475.00;n/e;n/e;1037.00;n/e;0.00;336.00;12.00;1197.00
01/09/2024 03:00:00 - 01/09/2024 04:00:00;570.00;n/e;n/e;565.00;10180.00;327.00;137.00;n/e;n/e;572.00;147.00;2832.00;468.00;n/e;n/e;1001.00;n/e;0.00;331.00;7.00;1140.00
01/09/2024 04:00:00 - 01/09/2024 05:00:00;534.00;n/e;n/e;565.00;9777.00;307.00;137.00;n/e;n/e;572.00;71.00;2819.00;468.00;n/e;n/e;1019.00;n/e;0.00;333.00;6.00;1272.00
01/09/2024 05:00:00 - 01/09/2024 06:00:00;535.00;n/e;n/e;565.00;9672.00;309.00;137.00;n/e;n/e;573.00;44.00;3074.00;442.00;n/e;n/e;1011.00;n/e;0.00;328.00;12.00;1354.00
01/09/2024 06:00:00 - 01/09/2024 07:00:00;541.00;n/e;n/e;565.00;9554.00;341.00;137.00;n/e;n/e;573.00;38.00;3430.00;392.00;n/e;n/e;1020.00;n/e;52.00;340.00;1.00;1286.00
01/09/2024 07:00:00 - 01/09/2024 08:00:00;549.00;n/e;n/e;565.00;8648.00;344.00;137.00;n/e;n/e;574.00;25.00;3460.00;397.00;n/e;n/e;965.00;n/e;1302.00;348.00;0.00;1126.00
01/09/2024 08:00:00 - 01/09/2024 09:00:00;549.00;n/e;n/e;565.00;7706.00;309.00;137.00;n/e;n/e;573.00;0.00;2985.00;336.00;n/e;n/e;948.00;n/e;4412.00;349.00;2.00;939.00
01/09/2024 09:00:00 - 01/09/2024 10:00:00;550.00;n/e;n/e;549.00;6572.00;307.00;137.00;n/e;n/e;569.00;0.00;2852.00;325.00;n/e;n/e;951.00;n/e;8074.00;350.00;2.00;823.00
01/09/2024 10:00:00 - 01/09/2024 11:00:00;545.00;n/e;n/e;522.00;5836.00;305.00;137.00;n/e;n/e;568.00;0.00;2716.00;318.00;n/e;n/e;893.00;n/e;10962.00;346.00;2.00;692.00
01/09/2024 11:00:00 - 01/09/2024 12:00:00;546.00;n/e;n/e;506.00;6355.00;306.00;137.00;n/e;n/e;559.00;0.00;2607.00;308.00;n/e;n/e;853.00;n/e;12940.00;344.00;2.00;515.00
01/09/2024 12:00:00 - 01/09/2024 13:00:00;540.00;n/e;n/e;507.00;7050.00;306.00;137.00;n/e;n/e;558.00;;2648.00;288.00;n/e;n/e;862.00;n/e;13845.00;340.00;2.00;478.00
01/09/2024 13:00:00 - 01/09/2024 14:00:00;539.00;n/e;n/e;506.00;6270.00;307.00;137.00;n/e;n/e;567.00;;2649.00;288.00;n/e;n/e;801.00;n/e;13705.00;335.00;1.00;660.00
01/09/2024 14:00:00 - 01/09/2024 15:00:00;534.00;n/e;n/e;507.00;6114.00;307.00;137.00;n/e;n/e;564.00;0.00;2701.00;289.00;n/e;n/e;761.00;n/e;12687.00;333.00;0.00;956.00
01/09/2024 15:00:00 - 01/09/2024 16:00:00;535.00;n/e;n/e;506.00;7037.00;308.00;137.00;n/e;n/e;564.00;;2721.00;289.00;n/e;n/e;827.00;n/e;10839.00;329.00;0.00;1350.00
01/09/2024 16:00:00 - 01/09/2024 17:00:00;524.00;n/e;n/e;504.00;8648.00;308.00;136.00;n/e;n/e;564.00;0.00;2840.00;360.00;n/e;n/e;977.00;n/e;8143.00;330.00;0.00;1738.00
01/09/2024 17:00:00 - 01/09/2024 18:00:00;537.00;n/e;n/e;504.00;12920.00;295.00;138.00;n/e;n/e;564.00;243.00;3454.00;442.00;n/e;n/e;1085.00;n/e;4964.00;335.00;0.00;1401.00
01/09/2024 18:00:00 - 01/09/2024 19:00:00;537.00;n/e;n/e;514.00;16540.00;315.00;138.00;n/e;n/e;560.00;913.00;4693.00;732.00;n/e;n/e;1380.00;n/e;1635.00;337.00;0.00;871.00
