Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
10/02/2024 03:00:00 - 10/02/2024 04:00:00;362.40;n/e;n/e;n/e;392.70;0.00;n/e;n/e;n/e;n/e;0.90;1170.50;193.50;n/e;n/e;13.70;n/e;0.00;n/e;23.50;4000.80
10/02/2024 04:00:00 - 10/02/2024 05:00:00;356.90;n/e;n/e;n/e;422.90;0.00;n/e;n/e;n/e;n/e;0.00;1092.50;173.60;n/e;n/e;12.70;n/e;0.00;n/e;21.50;3946.60
10/02/2024 05:00:00 - 10/02/2024 06:00:00;362.70;n/e;n/e;n/e;396.70;0.00;n/e;n/e;n/e;n/e;0.00;1019.30;170.50;n/e;n/e;12.50;n/e;0.00;n/e;23.90;3917.60
10/02/2024 06:00:00 - 10/02/2024 07:00:00;362.10;n/e;n/e;n/e;448.20;0.00;n/e;n/e;n/e;n/e;0.70;903.80;176.00;n/e;n/e;15.10;n/e;0.10;n/e;21.50;3800.80
10/02/2024 07:00:00 - 10/02/2024 08:00:00;369.30;n/e;n/e;n/e;229.70;0.00;n/e;n/e;n/e;n/e;179.60;973.90;227.20;n/e;n/e;20.90;n/e;0.00;n/e;22.90;3556.10
10/02/2024 08:00:00 - 10/02/2024 09:00:00;376.90;n/e;n/e;n/e;151.90;0.00;n/e;n/e;n/e;n/e;141.20;1028.20;228.00;n/e;n/e;26.50;n/e;14.10;n/e;24.90;3561.20
10/02/2024 09:00:00 - 10/02/2024 10:00:00;376.10;n/e;n/e;n/e;152.90;0.00;n/e;n/e;n/e;n/e;254.10;1146.40;226.80;n/e;n/e;28.20;n/e;322.70;n/e;24.80;3351.00
10/02/2024 10:00:00 - 10/02/2024 11:00:00;375.90;n/e;n/e;n/e;172.00;0.00;n/e;n/e;n/e;n/e;95.20;1089.20;203.80;n/e;n/e;28.60;n/e;809.80;n/e;24.20;3571.10
10/02/2024 11:00:00 - 10/02/2024 12:00:00;374.30;n/e;n/e;n/e;188.70;0.00;n/e;n/e;n/e;n/e;2.80;800.90;232.90;n/e;n/e;28.30;n/e;1071.50;n/e;20.70;3912.80
10/02/2024 12:00:00 - 10/02/2024 13:00:00;375.50;n/e;n/e;n/e;187.70;0.00;n/e;n/e;n/e;n/e;0.00;741.70;220.50;n/e;n/e;27.80;n/e;1212.40;n/e;24.80;4040.10
10/02/2024 13:00:00 - 10/02/2024 14:00:00;376.20;n/e;n/e;n/e;189.80;0.00;n/e;n/e;n/e;n/e;0.00;740.80;238.20;n/e;n/e;28.90;n/e;1327.40;n/e;23.60;4160.40
10/02/2024 14:00:00 - 10/02/2024 15:00:00;378.30;n/e;n/e;n/e;165.60;0.00;n/e;n/e;n/e;n/e;0.00;687.60;242.70;n/e;n/e;29.30;n/e;1271.90;n/e;22.60;4307.50
